trade_date,code,name,price,pct_chg,turnover,volume_ratio,market_cap,score
2026-06-05,002132,恒星科技,5.61,5.06,16.06,4.05,7862665756.0,38.4
2026-06-05,002536,飞龙股份,41.4,5.72,11.7,1.6,23796135763.0,25.29
2026-06-05,603588,高能环境,13.77,6.33,4.81,1.71,20974938473.0,23.62
